Numero_OC,Proveedor,Partida_Presupuestal,Descripcion_de_la_Partida_ Presupuestal,Concepto,Cantidad_Ordenada,UM, Monto_Total_Sin_IVA ,Fundamentacion_legal
22L0001,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$1.00,484000,KG,25054506.84,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0001,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$2.00,581000,KG,30075761.31,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0001,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$5.00,797000,KG,41257111.47,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0002,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $5.00,140000,KG,35322951.83,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0002,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE ARI$10.00,410000,KG,103816621.36,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0002,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE. ARI$20.00,410000,KG,103816621.36,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0003,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$1.00,345000,KG,26968168.07,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0003,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$2.00,113000,KG,8833052.15,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0003,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$5.00,169000,KG,13210493.92,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0004,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$1.00,1441000,KG,81005829.23,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0004,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$2.00,599000,KG,33672790.91,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0004,OUTOKUMPU MEXINOX S.A DE C.V.,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$5.00,1235000,KG,69425537.19,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0005,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$1.00,865000,KG,66490619.84,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0005,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$2.00,285000,KG,21907314.05,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0005,TOYOTA TSUSHO PROCESSING DE MEXICO,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$5.00,423000,KG,32515066.12,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0006,OMEGA ALEACIONES S.A. DE C.V,23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM ACERO ARI$1.00,9716,KG,870993.63,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0007,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $1.00,400000,KG,96057752.00,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0007,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $2.00,150000,KG,36021657.00,ADJUDICACION DIRECTA-ART 41 FRACC XII
22L0007,"NACIONAL DE COBRE, S.A. DE C.V.",23601,Productos metalicos y a base de minerales no metalicos adquiridos como materia prima,LAMINA CMM BCE NUC $5.00,300000,KG,72043314.00,ADJUDICACION DIRECTA-ART 41 FRACC XII
