rubro,motivo,vulnerabilidad,mes_año_tratamiento,edad,genero,provincia_consumidor,provincia_id
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,51,Femenino,Buenos Aires,6
Servicios de comunicaciones,Facturación excesiva/ facturación cargos no convenidos,Socio-económica,feb-21,64,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,feb-21,46,Femenino,Buenos Aires,6
Textil calzado y marroquinería,Problemas con la devolución del bien o el reembolso de sumas,Discapacidad,ene-21,69,Femenino,Neuquén,58
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,32,Masculino,Buenos Aires,6
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Socio-económica,ene-21,75,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Precios,Socio-económica,ene-21,47,Masculino,Buenos Aires,6
Construcción y equipamiento del hogar,Problemas de fraude o estafa,Socio-económica,ene-21,52,Masculino,Buenos Aires,6
Servicios financieros y seguros,Problemas de fraude o estafa,Socio-económica,ene-21,79,Masculino,Misiones,54
Informática,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,Socio-económica,ene-21,53,Masculino,Córdoba,14
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,25,Femenino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Entrega Defectuosa,NNyA,ene-21,50,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Clausulas Abusivas - Art. 37 Ley 24.240,Salud,ene-21,31,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,ene-21,29,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,ene-21,60,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Socio-económica,ene-21,47,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,40,Masculino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Servicio de reparación no satisfactorio (fuera de período de garantía),Socio-económica,ene-21,41,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,72,Masculino,Buenos Aires,6
Rodados automotores y embarcaciones,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,ene-21,73,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Socio-económica,ene-21,47,Femenino,Buenos Aires,6
Muebles,Problemas con la devolución del bien o el reembolso de sumas,Discapacidad,ene-21,37,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Falta de procesamiento de baja del servicio,Adulto/a mayor,ene-21,62,Femenino,La Pampa,42
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,30,Masculino,Buenos Aires,6
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,ene-21,75,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Falta de procesamiento de baja del servicio,Salud,ene-21,50,Femenino,Buenos Aires,6
Servicios de transporte terrestre de pasajeros y cargas,Falta de Información relevante. Art 4 de la Ley 24.240,Turista,ene-21,27,Femenino,Chubut,26
Servicios de comunicaciones,Prácticas Abusivas,Adulto/a mayor,ene-21,72,Masculino,Santiago del Estero,86
Colchonerías,Servicio de reparación no satisfactorio (fuera de período de garantía),Adulto/a mayor,ene-21,64,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,60,Femenino,Buenos Aires,6
Servicios de cuidado de personas,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,43,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,56,Masculino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,60,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,68,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,37,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,42,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,57,Femenino,Buenos Aires,6
Servicios de comunicaciones,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,Socio-económica,ene-21,37,Femenino,Buenos Aires,6
Alimentos y bebidas,Entrega Defectuosa,NNyA,ene-21,33,Femenino,Salta,66
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Salud,ene-21,31,Masculino,Ciudad Autónoma de Buenos Aires,2
Colchonerías,Falta de Entrega del bien,NNyA,ene-21,47,Femenino,Buenos Aires,6
Servicios de Salud,Falta de Información relevante. Art 4 de la Ley 24.240,Salud,ene-21,47,Masculino,Chubut,26
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,89,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,72,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,34,Masculino,Santa Fe,82
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,ene-21,71,Masculino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Barrios populares,ene-21,59,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,40,Femenino,Ciudad Autónoma de Buenos Aires,2
Farmacia y productos para la salud,Problemas con la devolución del bien o el reembolso de sumas,Discapacidad,ene-21,64,Masculino,Buenos Aires,6
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,ene-21,41,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,ene-21,40,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,44,Masculino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,87,Masculino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,66,Masculino,Tucumán,90
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,ene-21,59,Masculino,Buenos Aires,6
Servicios públicos domiciliarios,Incumplimiento total de la prestación del servicio,NNyA,ene-21,37,Femenino,Tierra del Fuego Antártida e Islas del Atlántico Sur,94
Electrodomésticos y artefactos para el hogar,Falta de Entrega del bien,Socio-económica,ene-21,35,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,60,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,42,Femenino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Prácticas Abusivas,Adulto/a mayor,ene-21,82,Masculino,Misiones,54
Muebles,Falta de Entrega del bien,Socio-económica,ene-21,36,Masculino,Buenos Aires,6
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,NNyA,ene-21,30,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,ene-21,64,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Existencia de clausulas abusivas.,Socio-económica,ene-21,50,Femenino,Buenos Aires,6
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Discapacidad,ene-21,36,Femenino,Buenos Aires,6
Servicios de transporte aéreo,Falta de procesamiento de baja del servicio,Adulto/a mayor,ene-21,63,Masculino,Buenos Aires,6
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Salud,ene-21,45,Femenino,La Rioja,46
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,ene-21,43,Femenino,Buenos Aires,6
Servicios de transporte terrestre de pasajeros y cargas,Incumplimiento total de la prestación del servicio contratado,Discapacidad,ene-21,64,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,85,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Precios,Socio-económica,ene-21,45,Femenino,Buenos Aires,6
Servicios de construcción para el hogar y comercialización de inmuebles,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,30,Masculino,Buenos Aires,6
Servicios turísticos,Falta de procesamiento de baja del servicio,Adulto/a mayor,ene-21,76,Femenino,Buenos Aires,6
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Adulto/a mayor,ene-21,68,Masculino,Mendoza,50
Servicios financieros y seguros,Falta de procesamiento de baja del servicio,Adulto/a mayor,ene-21,68,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,ene-21,79,Masculino,San Luis,74
Alimentos y bebidas,Entrega Defectuosa,Adulto/a mayor,ene-21,29,Femenino,Chaco,22
Muebles,Entrega Defectuosa,Adulto/a mayor,ene-21,78,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Incumplimiento total de la prestación del servicio,NNyA,ene-21,41,Femenino,Buenos Aires,6
Servicios de Salud,Prácticas Abusivas,Adulto/a mayor,ene-21,62,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Falta de procesamiento de baja del servicio,Adulto/a mayor,ene-21,65,Femenino,Buenos Aires,6
Servicios financieros y seguros,Precios,Socio-económica,ene-21,43,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,ene-21,56,Femenino,Buenos Aires,6
Muebles,Entrega Defectuosa,Socio-económica,ene-21,39,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,ene-21,43,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,ene-21,54,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Incumplimiento total de la prestación del servicio,Socio-económica,ene-21,35,Femenino,Buenos Aires,6
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,NNyA,ene-21,31,Femenino,Ciudad Autónoma de Buenos Aires,2
